         25905013 function calls (25905010 primitive calls) in 65.861 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\dataset.py:317(get_bad_bands)
       36    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\osgeo\gdal_array.py:377(_to_primitive_type)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(all)
        6    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\core\fromnumeric.py:2406(all)
        2    0.000    0.000    2.170    1.085 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\core\fromnumeric.py:2162(sum)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        6    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 {method 'left' of 'PySide2.QtCore.QRect' objects}
        2    0.000    0.000    2.171    1.085 <__array_function__ internals>:177(sum)
        1    0.000    0.000    0.002    0.002 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\linecache.py:80(updatecache)
        2    0.000    0.000    0.000    0.000 {method 'topLeft' of 'PySide2.QtCore.QRect' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       17    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        8    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        6    0.000    0.000    8.270    1.378 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\osgeo\gdal_array.py:254(DatasetIONumPy)
        1    0.000    0.000    0.002    0.002 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.003    0.003 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\warnings.py:97(_showwarnmsg)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000   11.724   11.724 <__array_function__ internals>:177(nanmean)
        1    0.000    0.000    0.278    0.278 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.002    0.002 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\tokenize.py:299(detect_encoding)
        2    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
        1    0.000    0.000    0.003    0.003 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\astropy\logger.py:202(_showwarning)
        6    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\osgeo\gdal_array.py:347(GDALTypeCodeToNumericTypeCode)
        2    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\warnings.py:404(__init__)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(where)
       14    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'height' of 'PySide2.QtCore.QRect' objects}
